Age  north=Enusmu
Alaximo  south=Musno east=Axixaxo west=Elegimisnilno
Migexa  north=Dosnixu south=Elneme
Enodu  north=Agosnime south=Alaxo west=Dudininime
Modiga  north=Daxo south=Dolemo east=Dimulme west=Demego
Emegalu  east=Agosnine
Maxele  north=Du-Daxe
Du-Alna  north=Mesnosmo south=Elmana west=Degino
Exinulnilo  north=Dusnu east=Dexinu
Alixu  west=Mudema
Misnama  north=Dulila south=Agamele
Amixexilo  north=Mesnilnixa south=Mu-Ena east=Musnagige west=Mima
Esmage  north=Musnenu south=Dasmigu east=Megu-A west=Amulu-A
Enililisnimu  north=Axu-De south=Misnegu east=Mosmegiximo west=Almegismisna
Dulosmixu  south=Magasne east=Alema west=Minele
Egalme  north=Dexesmu south=Mala
Duludu  north=Mesnegu south=Esmelu west=Axenusma
Asnodimu  north=Diliga south=Enenuda east=Melnige
Dalemo  north=Asnosmu west=Emanelo
Asmane  north=Egasmo south=Egasma
Exosnigo  south=Emodulu east=Exanalma west=Dusmago
Dasnolno  north=Esmo-Me
Emenilisna  north=Esnusno
Elalixima  south=Dimosna west=Agusme
Dodolmu  north=Agalmilixo south=Dilemu east=Molu-E west=Esmu-Ma
Mudismu  north=Alosmu south=Axaximu east=Dudigu
Ano-Exixo  north=Maximu east=Anenino west=Malnanisna
Egixusmu  south=Elanasmiga east=Axanulu west=Deno-A
Exismiga  south=Axismigo east=Dimiga west=Mino-E
Danalilmu  north=Degismigismo south=Exusnixu east=Degulno west=Amexe
Megegu  south=Enodemo east=Mudodigu west=Amimusme
Minusme  south=Modolmo west=Mosmimu
Malmisma  south=Exo-Alu west=Dosnaga
Exo-Almo  south=Dexolu
Exu-E  south=Mixaxu
Dinaxe  east=Egu-Dino west=Mamaxila
Agesna  south=Egegilu east=Ego-Axe
Melo  east=Dudosno west=Anigime
Egosnu  north=Elalode south=Mene east=Emagame
Alo-Du  north=Mulanu south=Exodale
Malelmu  south=Menulmo
Dismu-E  south=Alilamo east=Megude
Mu-Dusna  north=Digesmu east=Enosna
Exiligu  north=Enexolo south=Agaxoda west=Esnesmino
Ago-Ale  north=Dinagu south=Mexo-Du east=Agesmu west=Elna
Egamudixa  east=Mudosmo west=Du-E
Asnelne  north=Amilala south=Dosnixixe west=Dalime
Du-Mila  north=Exigago
Egudulo  south=Almago east=Damuligo west=Exagule
Molasno  north=Anagiga
Agana  north=Amodolixo west=Axismisne
Asnelinu  north=Enola west=Alnaga
Mimuda  south=Mesnexe west=Emudisna
Amamulnu  south=Emixuda east=Egu-Ege
Asmesme  north=Axexisne south=Anu-Alu west=Dinagixo
Maxena  north=Danixu east=Egolmo
Alenu  south=Agodisno east=Do-Anisma west=Dudusmixa
Enaxamo  north=Anexilu south=Dudusnu east=Mexe
Esmismo  north=Doleginigila south=Demo-A east=Mixamisnimo west=Amodino
Daxagu  south=Meninilmo west=Dodasnisme
Asnixu  west=Esneme
Mosmu  north=Emelama
Mesmalu  east=Agesnisne west=Esnesmo
Axilu-Minilmo  north=Musmolo south=Mesnisnu east=Egenu west=Mosmexismisna
Daxulnimu  east=Esnoda west=Agulesmo
Mudelne 
Agexixu  north=Enesne south=Axanene east=Alasme west=Elu-Ago
Axalu-Mo  north=Mixamo west=Mosnaxe
Disnu-Da  north=Elasmu
Mismemu  south=Dasmu-Mu
Enexasnile  north=Dusna south=Dasmosma west=Mudana
Manu-Mu  south=Egalexixe west=Mosnelna
Desnosnu  north=Danu south=Dolosna west=Mexosna
Egu-Dino  north=Dagegila east=Esmane west=Dinaxe
Dodele  north=Asmo
Modolmu  south=Dudina
Mudalu  north=Dodudu east=Mu-Eme
Minaga  north=Agagesme south=Misnalnu east=Amagelmo
Amexola 
Amimosmixe  south=Damaxa
Agexisnimo  south=Asno east=Exodimu
Degasno  north=Molnosno south=Daxa
Malo  north=Amagemo south=Amigu-E east=Danexe
Asnolnu  north=Alixegu south=Emilemigo east=Agududisna
Mismu  north=Agulmisma west=Megamo
Agu  north=Mamegixa south=Minu west=Denimo
Axa  north=Masnuda south=Degulninu east=Agodusma west=Mo-Exixe
Anenudo 
Malage  north=Alosnu south=Emaxosna
Muleno  north=Menaga south=Agigulixo east=Mameno
Milega  south=Enaxixa east=Agamismo west=Axulu
Elamo  north=Mesmulu south=Esmusme east=Esnexe west=Masmudime
Axigesma  north=Denalu west=Molisno
Agigode  west=Du-Daxe
Agudo  north=Exigo south=Magalno
Exegusnila  west=Denolme
Dilolnu  north=Alalnimismu west=Almexa
Anigude  north=Examusmu south=Amolago
Mo-Moda  north=Dudage south=Dudaga
Maxulnisme  south=Dinosmu east=Mulige
Amilela  north=Emele south=Mudamo east=Mo-Ala west=Mamudo
Egisna  south=Elodamixu east=Milila west=Exodamu
Anudeginu  north=Anexusmu south=Elilisma
Dimu  north=Aximaga south=Alanamo
Egodosna  north=Ana south=Masmaxe east=Elaxu west=Eligegisnu
Anesna  north=Anesne west=Dexoda
Megama  north=Megulo south=Dululigo east=Dodosne west=Esnesma
Mo-Mismisne  north=Modulu west=Enixinu
Minamisma  north=Mimagu south=Asmu-Me
Axinema  north=Amu-A
Exagosme  south=Agodisme
Exixamu  south=Agexu-Ma
Mulmulmu  north=Dalaxa south=Asmo-Du
Dasnigo  north=Alo-A east=Masmimu
Ano-Mu  south=Amilnu
Enosne  north=Anenino south=Dinosnigo east=Musmexe
Desna  north=Molelmixiximinigixu west=Anamago
Modu-Diga  north=Danu-Dininu
Manenu  north=Du-Dolnu west=Emaninu
Elma  north=Agusma south=Elnasnime west=Exasme
Mimimu  north=Amesme south=Du west=Eginega
Masmosmu  north=Dosnodo south=Dagina
Du-Dagu  west=Melemo
Agigigu  north=Anelniga south=Musnemu east=Mamoda
Deno-A  north=Dulmesmu south=Enu-Elu east=Egixusmu
Minule  north=Alimu east=Alimaxo
Anodigo  east=Dudusnimo west=Amelelmu
Aginaga  north=Amixixa
Alnilmigixismixiga  east=Elagude
Dalmoda  south=Agemilo east=Mamaxisnigu west=Amuda
Egusmisma  north=Dusminu south=Masmalino west=Dudu-E
Digeme  north=Musmexine south=Dodosnigu west=Esmila
Masmalino  north=Egusmisma east=Dixu west=Elinagimigu
Agolmu  north=Mu-Axe west=Megu-Da
Axilesme  south=Emimexa east=Emamila
Esmodime  north=Enixamu east=Mo-Ene west=Miligixu
Esmosme  north=Menaxo south=Amamilu east=Amasna west=Eminixu
Agismo  north=Dinexo south=Mododa west=Dismigo
Asmu-Du  south=Anigilu
Desnode  north=Molnasno south=Milnelu east=Dilo-A west=Molmosmo
Memisno  north=Eneno south=Eninu east=Dixusmu west=Aximino
Dixaxo  north=Mesmanu east=Exane west=Dexame
Asmula  north=Digasmine south=Denilixa west=Dagele
Elasnixo  north=Enudulu south=Amolno
Enasmo  south=Dexudine east=Masno-E
Elusna  west=Alile
Dolegu  north=Dodu-Me south=Anegigu west=Axu-Mile
Dulodu 
Enelno  north=Mimasmu south=Enelna
Melisma  north=Dinanigixu south=Emegule east=Emagixima
Alosnisma  north=Dinalisno south=Mu-Enilno west=Exodimu
Mo-Mu-E  north=Axaxege south=Asmemo west=Agimo-E
Ego-E  south=Egalalimo east=Anago-A west=Dulna
Agisno  north=Delu south=Maxudu
Dexo  north=Mesmigigo west=Dodelu
Memodu  north=Diganile east=Alimano
Alenulno  north=Anilanu south=Esmasne west=Elo
Axusme  north=Egaminu east=Daleme
Egudesmisma  north=Magaxa
Axila 
Mulesnismu  north=Melalnu south=Agulime west=Diminu
Modolilmu  south=Dolmasmixu
Mixesmu  north=Dagolo south=Axo-Misno east=Degulo west=Agageximo
Mu-Aga  north=Modisme south=Modisma
Milolo  north=Emaxu-Mu south=Melusmina east=Egagamino west=Musmexe
Esnega  east=Enilinisne
Migaxo  north=Mu-Dulu south=Mego-A east=Dagasna west=Anusmimo
Malme  south=Mo-Mosma east=Demesnu
Mimale  south=Dolmesmu
Exodegu 
Musno  north=Alaximo south=Amilu-E east=Dinixu west=Mosmegiximo
Dosnixu  north=Migexe south=Migexa west=Musminina
Enodo  north=Manila south=Dodagu east=Musmilisne
Dolemo  north=Modiga south=Enixelo
Alosnisnisnixo 
Du-Daxe  south=Maxele east=Agigode
Elmana  north=Du-Alna
Manulu  north=Exudigu south=Mulige
Misname  south=Denasnu east=Amixamo west=Molage
Mesnilnixa  north=Dulasno south=Amixexilo east=Amudimisno west=Anusmo
Daxixa  north=Emusmu east=Mulnudismismino west=Du-Exu
Dalosmu  south=Egimagu west=Eno-Emo
Misnegu  north=Enililisnimu south=Dixile east=Agagelo
Digexe  east=Magina west=Emexege
Enolelo  north=Daxesnilo south=Egalusmo east=Digima
Miga  north=Daximu south=Molagu west=Masnisne
Esmelu  north=Duludu east=Dilosminimu west=Desmu-Mu
Malnenigu  south=Musmege
Esmu-E  north=Daleme south=Anulna
Do-Agu  south=Dinagixo east=Axexisne
Enu-Du  north=Asmano south=Esmixo
Mismusmo 
Mamame  east=Anexilu
Exinoliga  east=Demalna
Esnusno  north=Modu-A south=Emenilisna
Agalmilixo  south=Dodolmu west=Esmu-Me
Exigega 
Alosmu  south=Mudismu east=Anigeno west=Dusmola
Milexiginu  south=Dudo west=Anesme
Exusnixu  north=Danalilmu south=Emulmo east=Anemode
Enodemo  north=Megegu south=Elenismu
Modolmo  north=Minusme
Elu-Ago  east=Agexixu
Dexolu  north=Exo-Almo east=Anegudo
Mixaxu  north=Exu-E south=Dulisna
Mesnago  south=Mulmo-E east=Anamimu west=Mesmimixu
Mixudu  south=Daguda east=Mego-Mo
Damusmiga  north=Emodusmimu east=Dasno west=Almosno
Melnaxigine  east=Magalo
Dusmo-E  north=Asnixixe south=Axu
Elalode  north=Axagaxo south=Egosnu
Menulmo  north=Malelmu south=Emexeno
Enexolo  north=Emamila south=Exiligu east=Mexexa west=Emimexa
Doligo  east=Amolusnisnu
Mexo-Du  north=Ago-Ale south=Amiximine west=Elne
Duludigu  north=Denimo south=Megosna east=Minu west=Mixago
Mimo-E  south=Dilelu east=Dulnina west=Mexegimu
Dosnixixe  north=Asnelne east=Enisma west=Enigoda
Delosnu  east=Ememo west=Du-Dalu
Elinagimigu  north=Dudu-E south=Agodigo east=Masmalino
Modage 
Asnola  south=Enudega west=Egosmu
Enola  north=Esmine south=Asnelinu west=Melnudima
Dolmexe  north=Mimude south=Amolilne
Alamane  west=Dusmo
Mu-Demigu  south=Asmesmo east=Dimode
Danixu  north=Demixu south=Maxena east=Mo-Esma west=Minasnu
Agodisno  north=Alenu east=Elalolnixisnisme
Maleme  north=Aximulna south=Migago east=Anamago
Mu-Exe  north=Mamenimisna east=Elesna
Meninilmo  north=Daxagu south=Exegixo east=Elemudinigilo
Damexa  west=Exinasnu
Misnima  south=Enigixa west=Mememixe
Mesnisnu  north=Axilu-Minilmo south=Alela
Dudalixine  north=Daxega south=Daxege east=Mo-Du
Damegimo  north=Dalma west=Elmolo
Enesne  south=Agexixu
Elasmu  south=Disnu-Da west=Mimismu
Mexinisno  north=Dilinila west=Magaxa
Dusna  north=Daneline south=Enexasnile west=Modenu
Danu  south=Desnosnu east=Ageliga
Minalo  north=Minala south=Esmoligu
Dulna  south=Mo-Me east=Ego-E west=Dudala
Dagegila  south=Egu-Dino
Alaxilu  north=Musma south=Misnixo west=Axismo
Dudina  north=Modolmu
Misnalnu  north=Minaga
Agalemo  south=Mudixe west=Moduda
Damaxa  north=Amimosmixe south=Egenu-Da
Daxa  north=Degasno south=Examixo west=Exodusmo
Amagemo  north=Do-E south=Malo west=Minixo
Alixegu  south=Asnolnu east=Mesnu
Demimu  north=Emasmo east=Esmaxa
Mamegixa  south=Agu east=Dosnu-A
Amemosno  north=Damusnu south=Exale
Masnuda  south=Axa east=Daligimu west=Amimilo
Degu  west=Enixode
Agano-A  north=Alosna east=Dulusmu west=Emismu
Enaxixa  north=Milega south=Meno-Do east=Melusminu
Mesmulu  north=Dinisme south=Elamo east=Agu-Da
Damudu  north=Maxino south=Anexexe east=Ago-Eme
Magalno  north=Agudo south=Agude east=Exu-Du
Axixana  east=Asnisnigo
Dosnudo  north=Exo-Mixe south=Emanamisno east=Amudosmo
Amolago  north=Anigude east=Mimele west=Degule
Axasmu 
Dudage  north=Mamexu south=Mo-Moda
Dulola  west=Dilmime
Demama  east=Mulagilmu west=Exu-Ema
Emele  north=Magino south=Amilela east=Emamolo
Anexusmu  north=Melimime south=Anudeginu
Daxima  south=Dusmegimu east=Mulmo west=Esnu-Me
Masmaxe  north=Egodosna west=Ago-Eme
Dululigo  north=Megama south=Exexu-A
Dodusna  south=Mosmu-Me west=Dolma
Asmu-Me  north=Minamisma west=Axalnino
Emudolu  south=Animu-A west=Mename
Do-Mo-A  south=Esmolu east=Dixudu west=Dolosna
Agodisme  north=Exagosme south=Dasmo-De west=Esnodigu
Eminuda  east=Asmelo
Asmudisnu  north=Alinudo west=Dixusno
Molelmixiximinigixu  north=Minudo south=Desna west=Dasmege
Amo-Digu 
Danu-Dininu  north=Anosnu south=Modu-Diga
Du-Dolnu  north=Dilno south=Manenu west=Emenaxixixu
Elnasnime  north=Elma south=Agusme
Amesme  north=Dilolima south=Mimimu east=Dimaximo west=Doludixa
Esnulu  east=Dodu west=Anilolinige
Digige  north=Digiga west=Eno-Du
Denene  north=Dosmemina south=Exaxaxo east=Exigolo west=Egasmigo
Enu-Elu  north=Deno-A south=Mu-Damu east=Elanasmiga
Amo-Milne  south=Minula east=Demalmimismu west=Milesmu
Agolo-Mima  north=Axodeme south=Malusno east=Mu-Milmu
Dudelo 
Dusmolnina  north=Masmigu east=Dilixe west=Anu-Esnu
Anigo-Me  east=Dalulmigu
Esmame  north=Do-Dudu
Dusminu  north=Memema south=Egusmisma east=Aminenu west=Dudu-A
Mudulu  south=Minino west=Milesnu
Digude  south=Enolno
Exaxalo  south=Mesnesne west=Amixagisna
Emimexa  north=Axilesme south=Esnesmino east=Enexolo west=Axo-Exisne
Amamilu  north=Esmosme south=Amilulu east=Mixolo west=Dagemimu
Anigilu  north=Asmu-Du south=Masnega east=Mo-Dismo west=Daloda
Asnesno  south=Egixema
Molnasno  south=Desnode east=Mimisno west=Dudema
Du-Dalu  north=Mimilixe east=Delosnu west=Esmoligigo
Eneno  south=Memisno east=Megino west=Mo-Mudo
Mexiga  north=Megole east=Dene
Mesmanu  south=Dixaxo west=Manale
Digasmine  south=Asmula
Enudulu  north=Manixu south=Elasnixo west=Emusne
Agesnisne  north=Dexelu south=Mudixa west=Mesmalu
Emino-Do  south=Manelu west=Agego-Misna
Anegigu  north=Dolegu south=Enixusmo west=Mu-Eme
Enelna  north=Enelno south=Asnaxa east=Asnusmo
Emegule  north=Melisma south=Misne east=Alegudilo
Amusme  east=Mesmixo
Emusna  north=Dimemimu east=Daniga west=Exaxelu
Daneline  north=Exigimu south=Dusna west=Asnamixe
Duleno  east=Esmismu
Delu  north=Elmolixe south=Agisno east=Egimo
Misnisno  north=Danulima east=Animolme
Diganile  south=Memodu east=Asmixe west=Egusma
Dismolu  north=Do-Mela south=Mo-Mudimo
Egaminu  north=Amelolilinigo south=Axusme east=Enolaxa west=Mesnimo
Modenu  north=Asnamixe south=Mudana east=Dusna
Alusnixe  north=Anolno east=Desmegu west=Exu-Du
Agulime  north=Mulesnismu south=Molisnige east=Degosno
Anodudu  west=Memamu
Dusnixo  west=Axudixo
Molo-Ma  north=Dismexe east=Du-Mulna
Emaxu-Mu  south=Milolo west=Milego
Amosnima  north=Masmisnu south=Eganolimu
Dusnimilu  north=Asmage east=Mosnexige west=Malisnime
Elilu  south=Musno-Do west=Du-Esme
Alaximigo  north=Dosmelilixa west=Desnesmo
Mo-Mosma  north=Malme east=Anolege
Minimixixe  north=Emigelne
Amilu-E  north=Musno south=Amilu-A west=Agagelo
Megesma  north=Agulesmo south=Amudosmo west=Exo-Mixe
Asnulo  south=Muleme west=Dexasma
Dodagu  north=Enodo south=Agosnime east=Enalodu
Enixelo  north=Dolemo south=Dixole west=Almalo
Mixu-E  east=Melnula
Anexulu  south=Du-Delnime west=Dudo-E
Mulige  north=Manulu south=Dusnu west=Maxulnisme
Agalulimu  south=Emimesmina west=Mudeme
Minodu  north=Mu-Ena south=Musmosma
Emusmu  north=Dasmigu south=Daxixa west=Dimemu
Egimagu  north=Dalosmu south=Dasnalnu east=Egigolisne west=Mosnexu
Dixilo  north=Exalixa south=Axu-De east=Asmule
Du-Mo-A  north=Mulmusno west=Disnegu
Daxesnilo  north=Mala south=Enolelo east=Alexena west=Esmelma
Molagu  north=Miga
Musmege  north=Malnenigu south=Diliga east=Dolo west=Amisnu
Anulna  north=Esmu-E south=Asnosmu west=Dolmodo
Esmixo  north=Enu-Du south=Emudisna west=Dimiga
Anixexo  east=Anexemilininixa
Ego-Ma  north=Ego-Mo south=Enudiga
Dilaxu  east=Esnasmo west=Disnode
Modu-A  north=Mamaxu south=Esnusno east=Alododixu west=Aximo-Me
Masmesma  north=Dilemu
Misnismimilo  north=Axaximu east=Axelne
Dudo  north=Milexiginu south=Alexixo west=Enexixu
Emulmo  north=Exusnixu south=Exagago west=Egosmo
Dimilisma  north=Enodudu east=Dexasma
Elenismu  north=Enodemo south=Enulige east=Mamino west=Malamu
Alige  south=Misnodo east=Modosme west=Alelema
Dulenilo  north=Dinodu east=Mudasnu
Mosmaxe  south=Dagosmo
Dulisna  north=Mixaxu south=Amosnu east=Asnisno
Daguda  north=Mixudu
Agesne  east=Dulu-Ma west=Asnesninixu
Dixolinu  north=Daxelu south=Esno
Asnixixe  south=Dusmo-E east=Modisma
Melnula  north=Egosno south=Egexulisnu east=Asmudine west=Mixu-E
Emexeno  north=Menulmo south=Dilmula
Dexino  north=Alilamo south=Dodulmo east=Axexu-A west=Muliga
Amiximine  north=Mexo-Du south=Axulodu west=Dinigu
Megosna  north=Duludigu
Dulasmo  north=Emiximu south=Magimino
Eludila  north=Desmexu south=Exigago east=Agigusmo west=Emo-Mu
Agodigo  north=Elinagimigu west=Memusnu
Molasnu  south=Amamosmo west=Asmole
Exu-Axime  south=Ememolo
Mulina  north=Degenu south=Examesne west=Modimixo
Esmine  north=Egismu south=Enola east=Emenanima
Mimude  north=Mesnexe south=Dolmexe west=Dusmema
Modima  north=Emixuda south=Modime
Enududu  north=Mixosnu west=Digolo
Maxene  south=Amemaminine east=Mosnusmigu west=Magosma
Aximulna  north=Dudusnu south=Maleme east=Dasmege
Asnilo  south=Asnila
Mamenimisna  north=Mu-Exa south=Mu-Exe west=Agasmo
Exegixo  north=Meninilmo east=Asmame west=Manago
Agodu-E  west=Exexusna
Enigixa  north=Misnima south=Migele
Desnaxe  north=Mosmo south=Emelama east=Milmale
Alela  north=Mesnisnu south=Anenaxe east=Amudalo west=Memixime
Eligudine  south=Degagisna west=Amudosmo
Daxege  north=Dudalixine south=Delnusmu
Dalma  north=Molosma south=Damegimo west=Dixale
Exalama  north=Dudima east=Mimelma west=Daxama
Disna  south=Axisne
Dilinila  south=Mexinisno east=Degigu west=Masnanu
Almale  north=Egalexixe east=Doleme
Minala  north=Mosmame south=Minalo
Mo-Me  north=Dulna south=Enisne east=Egalalimo west=Emimelilo
Misnixo  north=Alaxilu south=Asmu west=Demege
Ego-Axe  west=Agesna
Musnime  south=Dasno east=Mu-Amo west=Emodusmimu
Enosma  west=Aniximu
Mudixe  north=Agalemo
Egenu-Da  north=Damaxa south=Agaxeniximilina
Asnu-Mo  east=Exeloliga
Do-E  south=Amagemo east=Desnagixina west=Anelaxo
Emasmo  north=Anegu south=Demimu
Damusnu  north=Anoludimu south=Amemosno east=Migaxa
Eligigimu  north=Dusnu-Mo south=Analo-E east=Disnanu west=Dismudilixu
Alosna  north=Malemu south=Agano-A east=Misnosne
Enixixismiga  west=Dimuda
Meno-Do  north=Enaxixa south=Masmisnilna west=Axinilo
Asmine  north=Ano-Elixe
Anexexe  north=Damudu south=Demega east=Mulnamo
Agude  north=Magalno south=Alilmo west=Modamo
Manolno  south=Mosnine east=Dolmesmu west=Menegigo
Dosmusna  east=Dimalo
Emanamisno  north=Dosnudo west=Malosno
Megesmiminixine  north=Emismu south=Doliga
Mamexu  south=Dudage west=Agilusmo
Anexusme  north=Dinosmo south=Esnoda east=Enalude
Magino  north=Exusmixa south=Emele east=Minesme west=Esmaxa
Esmu-Da  east=Elosmigo west=Ego-Mige
Desnaxo  north=Elilisma
Dusmegimu  north=Daxima south=Melmisnima east=Agexa
Dududisma  north=Alanamo east=Anisne west=Dolamo
Danegixa  south=Anesne east=Modime
Exexu-A  north=Dululigo
Disnegu  east=Du-Mo-A
Mosmu-Me  north=Dodusna
Egilo-Mu  south=Amano
Esmolu  north=Do-Mo-A south=Amu-A east=Alolosmu
Alilinu  south=Alododixu west=Mamaxu
Dasmo-De  north=Agodisme
Mo-Amu  north=Mu-Ema west=Digilme
Alinudo  north=Emudine south=Asmudisnu east=Manola west=Egasno
Minudo  south=Molelmixiximinigixu west=Mexa
Anosnu  north=Exosmilige south=Danu-Dininu
Dilno  north=Emegu-Miga south=Du-Dolnu
Agusme  north=Elnasnime east=Elalixima
Disno-Ma  north=Du east=Duloda west=Dododima
Eligusna  east=Anilosna west=Axixaxe
Molixa  north=Amamole west=Mudinu
Exaxaxo  north=Denene east=Elmolixe west=Anenudu
Mu-Damu  north=Enu-Elu south=Dagasmisno east=Milimixe
Minula  north=Amo-Milne south=Alimu east=Ananime west=Mudaxixo
Malusno  north=Agolo-Mima south=Enudisne
Mulnamo  north=Ago-Eme south=Dosnusnu west=Anexexe
Analude  north=Enu east=Dusnolmo
Masmigu  south=Dusmolnina west=Dilmula
Mosniga  north=Eligenigu west=Dilasmu
Do-Dudu  south=Esmame east=Elamaxe
Memema  north=Emigemimismo south=Dusminu east=Dixo
Anane 
Minino  north=Mudulu south=Musmexine west=Esmilo
Axaliga  north=Melasma
Mesnesne  north=Exaxalo south=Mu-Axe east=Egodosnige
Mo-Ane  north=Mulagilmu
Esnesmino  north=Emimexa south=Mimu east=Exiligu west=Dixulnilu
Anolele  north=Dimode south=Agududo west=Asmesmo
Amilulu  north=Amamilu
Eninimu  south=Mo-Dule west=Eludino
Egixema  north=Asnesno south=Amene west=Enemulmiga
Mu-Esma  north=Egimalu east=Mu-Daxo
Megole  north=Dosmolu south=Mexiga east=Molemiline west=Exaxula
Elanole  north=Amilne south=Amilna
Amexe  east=Danalilmu
Milmosma  north=Denilixa south=Asmule east=Migige west=Exalixa
Manixu  north=Dasmosno south=Enudulu
Alolosmu  north=Dixudu west=Esmolu
Alne  south=Milmale east=Daxexa west=Mosmo
Dexelu  north=Dexudine south=Agesnisne east=Danegine
Manelu  north=Emino-Do east=Emagasmo west=Dulo
Magelu  south=Dodu-Me east=Musmosma west=Ananalne
Agasmo  east=Mamenimisna west=Dilnexu
Asnaxa  north=Enelna south=Egemu east=Migelu
Misne  north=Emegule
Enixudu  south=Dinalisno west=Esnexilno
Dimemimu  north=Asmemo south=Emusna
Amelalo  north=Do-Asma east=Mu-Asno
Dololu 
Exigimu  north=Denima south=Daneline west=Mo-Mo
Agalaxe  north=Maxudu south=Exinelo east=Egasmu west=Damenu
Emana  north=Asnulu west=Alolno
Danulima  north=Muludinu south=Misnisno east=Dusmisne west=Asmesno
Mo-Mudimo  north=Dismolu east=Dexu-E
Amelolilinigo  north=Anolu south=Egaminu west=Mosmule
Mudana  north=Modenu south=Emolaga east=Enexasnile
Misnodo  north=Alige south=Melalnu
Dulo-Do  south=Milaxu
Dosmixe  south=Axulemo east=Magolu
Denosna  north=Mosmigu east=Almu-E
Masmisnu  south=Amosnima
Asmage  north=Dosnaga south=Dusnimilu east=Exo-Alu west=Mosnoda
Dosmelilixa  south=Alaximigo east=Esmolmo west=Mixenu
Egolosmo  north=Elulmo south=Mimo-Ma east=Anodano
Emigelne  south=Minimixixe east=Amolo-A west=Mulemo
Dusmalu  north=Magulo south=Enixode
Agulesmo  north=Exulme south=Megesma east=Daxulnimu
Muleme  north=Asnulo south=Mimelma west=Dudima
Dixusmu  north=Megino east=Alasno west=Memisno
Emilusmu  south=Alixusna
Esmesmisna  south=Dismosne
Mimego  west=Migaxe
Du-Delnime  north=Anexulu south=Mimeno
Aginu-Do  north=Denasnu south=Elagelma east=Enenulu
Mu-Ena  north=Amixexilo south=Minodu east=Egasne west=Dodu-Ma
Molama  south=Molame west=Axaxaga
Elmeme  north=Dame south=Enaxulisnu
Dasnalnu  north=Egimagu south=Molnilmu
Axu-De  north=Dixilo south=Enililisnimu east=Elegimisnilno
Mulmusno  north=Dilolo south=Du-Mo-A east=Dismixe
Enudasmo  north=Egalusmo south=Alno
Du-Ege  south=Elixa east=Egolexu west=Anolege
Dimo-Du  west=Du-Mo-E
Emanegu  north=Megu south=Migulima west=Milimixe
Danasme  south=Asmano east=Mimudo west=Desnana
Alnismine  south=Mudexe east=Agisna west=Amilnu
Alimano  north=Asmixe east=Alixudo west=Memodu
Enudiga  north=Ego-Ma east=Milanisno west=Exeloliga
Esmuligine 
Mamaxu  south=Modu-A east=Alilinu
Dilemu  north=Dodolmu south=Masmesma east=Diname west=Axixisno
Melnudililu  south=Emegemo east=Minolo
Axaximu  north=Mudismu south=Misnismimilo west=Exudege
Maximo  north=Almu-E east=Masmulmigu
Alexixo  north=Dudo south=Duda east=Dimigu west=Egagolnu
Exagago  north=Emulmo
Enulige  north=Elenismu south=Muline
Amudagu  north=Mosnexige south=Dagaxisma east=Enelena
Dusmosmo  east=Dolnege
Dagosmo  north=Mosmaxe south=Exalmo west=Agigusmo
Amosnu  north=Dulisna east=Eludo west=Egigeno
Almu  east=Exoliga
Daxelu  north=Misnude south=Dixolinu west=Daxesnixu
Mosnexu  north=Eno-Emo east=Egimagu
Asmusme  north=Asmusma west=Dilime
Dixasnimo  north=Agilodu east=Elnodu
Egosno  south=Melnula
Dilmula  north=Emexeno south=Anu-Esnu east=Masmigu west=Modusna
Alilamo  north=Dismu-E south=Dexino east=Masnexo
Axulodu  north=Amiximine south=Esnasmo
Magimino  north=Dulasmo south=Aminega west=Degodige
Exigago  north=Eludila south=Du-Mila east=Esnismo west=Mulmimilo
Esmulo  north=Axamasna east=Alusnu
Amamosmo  north=Molasnu west=Enalimo
Manaxu  north=Mu-Mimo west=Enigale
Examesne  north=Mulina south=Dinexo east=Asnusnila
Egismu  south=Esmine east=Demesno
Musmana  north=Emame east=Dosmimo west=Axudane
Emixuda  north=Amamulnu south=Modima east=Egu-Asne
Mixosnu  south=Enududu
Agosmo  north=Mosnanixa south=Agosma west=Meniga
Enanega 
Milanisno  south=Anu-Dixa west=Enudiga
Asnila  north=Asnilo south=Asnile
Demalna  south=Exudeno west=Exinoliga
Migele  north=Enigixa west=Enesna
Emelama  north=Desnaxe south=Mosmu
Degagisna  north=Eligudine south=Do-Ega
Molosma  south=Dalma west=Digosna
Axanene  north=Agexixu
Elosno  north=Mamu south=Dudimu east=Emu-Ma west=Minixila
Esmu-A  north=Elmoda east=Modamige
Egalexixe  north=Manu-Mu south=Almale east=Milegigimilu
Desnuda  west=Asmismu
Enisne  north=Mo-Me east=Egamusmo
Alolno  south=Musma east=Emana
Dasno  north=Musnime south=Malosma west=Damusmiga
Egenema  east=Emanelo west=Egigile
Agaxeniximilina  north=Egenu-Da south=Amesnu east=Denola
Molnosno  south=Degasno east=Asnalime west=Asmelnismixa
Molmene  north=Asnigino south=Agesmu east=Manisnu west=Dinagu
Minu  north=Agu east=Dexexa west=Duludigu
Mo-Mo-Mimu  north=Axu
Dusnu-Mo  north=Anenosmo south=Eligigimu west=Elnu-A
Malemu  south=Alosna west=Elninilmo
Masmisnilna  north=Meno-Do south=Milego west=Aludalu
Esmusme  north=Elamo
Dusninu  north=Egesmime south=Anemaxilisma west=Asmimo
Amodilne  south=Egu-Ege
Mosnine  north=Manolno east=Mimalo west=Magaxilo
